LAT,LON,YEAR,MO,DY,T2M,T2MDEW,TS,PRECTOTCORR,PS
4.75,-72.75,2021,4,1,24.28,20.87,24.42,2.53,94.24
5.25,-76.75,2021,4,1,24.84,23.67,24.61,2.78,96.53
5.25,-76.25,2021,4,1,22.32,20.36,22.23,0.82,89.51
5.25,-75.75,2021,4,1,19,16.46,19.01,1.46,81.91
5.25,-75.25,2021,4,1,20.84,16.73,20.7,1.75,83.64
5.25,-74.75,2021,4,1,23.05,17.32,23.03,1.62,86.39
5.25,-74.25,2021,4,1,22.02,16.04,22.39,1.16,84.82
5.25,-73.75,2021,4,1,15.33,12.33,15.79,0.56,76.61
5.25,-73.25,2021,4,1,16.09,13.63,16.6,1.13,79.16
5.25,-72.75,2021,4,1,20.2,17.07,20.53,2.29,86.29
5.75,-76.75,2021,4,1,24.69,23.42,24.35,1.9,96.29
5.75,-76.25,2021,4,1,21.71,19.89,21.48,0.81,88.77
5.75,-75.75,2021,4,1,19.15,16.77,19.04,0.98,82.84
5.75,-75.25,2021,4,1,21.47,16.87,21.28,1.1,84.99
5.75,-74.75,2021,4,1,24.7,17.85,24.58,1.05,89.26
5.75,-74.25,2021,4,1,25.07,17.52,25.22,0.8,89.86
5.75,-73.75,2021,4,1,19.04,13.82,19.35,0.44,81.18
5.75,-73.25,2021,4,1,15.46,12.02,16.1,0.6,76.36
5.75,-72.75,2021,4,1,15.92,13.17,16.66,1.34,78.1
6.25,-76.75,2021,4,1,24.61,23.04,24.34,1.78,95.75
6.25,-76.25,2021,4,1,21.18,19.18,20.96,0.86,87.72
6.25,-75.75,2021,4,1,18.09,15.73,17.98,0.55,81.77
6.25,-75.25,2021,4,1,20.83,15.81,20.8,0.52,84.43
6.25,-74.75,2021,4,1,25.41,17.56,25.41,0.56,90.51
6.25,-74.25,2021,4,1,27.78,18.7,27.81,0.54,94.04
6.25,-73.75,2021,4,1,23.84,16.58,23.96,0.41,88.28
6.25,-73.25,2021,4,1,19.38,13.71,19.91,0.29,80.76
6.25,-72.75,2021,4,1,15.49,11.78,16.48,0.53,75.68
6.75,-76.75,2021,4,1,24.91,22.94,24.84,1.58,95.78
6.75,-76.25,2021,4,1,21.45,19.22,21.4,0.83,87.83
6.75,-75.75,2021,4,1,18.39,15.77,18.35,0.33,82.12
6.75,-75.25,2021,4,1,21.71,15.8,21.75,0.19,85.3
6.75,-74.75,2021,4,1,26.7,17.45,26.76,0.23,91.51
6.75,-74.25,2021,4,1,29.69,19,29.7,0.3,95.74
6.75,-73.75,2021,4,1,28.03,18.86,28.04,0.31,93.91
6.75,-73.25,2021,4,1,23,15.46,23.47,0.17,85.31
6.75,-72.75,2021,4,1,16.93,12.28,17.87,0.19,77.32
7.25,-76.75,2021,4,1,25.73,23.2,25.8,1.2,96.76
7.25,-76.25,2021,4,1,23,20.4,23.12,0.67,90.3
7.25,-75.75,2021,4,1,22.16,18.64,22.16,0.24,87.76
7.25,-75.25,2021,4,1,25.53,18.47,25.59,0.1,90.67
7.25,-74.75,2021,4,1,28.85,18.76,28.93,0.12,94
7.25,-74.25,2021,4,1,30.42,18.97,30.42,0.18,95.7
7.25,-73.75,2021,4,1,31.1,19.22,31.06,0.23,96.73
7.25,-73.25,2021,4,1,23.35,15.36,23.88,0.15,86.15
7.25,-72.75,2021,4,1,18.33,13.52,19.21,0.16,80.58
3.25,-76.75,2021,4,2,20.85,18.67,21.44,20.8,87.76
3.25,-76.25,2021,4,2,15.87,13.86,16.28,23.74,78.11
3.25,-75.75,2021,4,2,18.01,15.87,18.38,22.43,82.5
3.25,-75.25,2021,4,2,20.58,17.63,20.79,23.28,86.58
3.25,-74.75,2021,4,2,20.86,18.12,21.02,23.63,87.68
3.25,-74.25,2021,4,2,19.97,18.37,20.14,21.58,87.95
3.25,-73.75,2021,4,2,22.85,21.49,22.87,16.07,94.42
3.25,-73.25,2021,4,2,24.32,23,24.32,8.6,97.46
3.25,-72.75,2021,4,2,24.98,23.28,24.88,4.95,98.4
3.75,-76.75,2021,4,2,22.38,20.49,22.93,20.54,91.11
3.75,-76.25,2021,4,2,17.65,15.5,17.98,23.75,81.03
3.75,-75.75,2021,4,2,17.41,15.37,17.75,23.07,81.31
3.75,-75.25,2021,4,2,21.96,18.29,22.17,23.25,87.78
3.75,-74.75,2021,4,2,21.98,18.14,22.2,21.64,87.74
3.75,-74.25,2021,4,2,18,15.71,18.33,17.08,82.93
3.75,-73.75,2021,4,2,20.46,18.63,20.6,9.94,89.49
3.75,-73.25,2021,4,2,23.97,21.95,23.99,4.36,96.24
3.75,-72.75,2021,4,2,25.29,22.89,25.19,1.74,98.34
4.25,-76.75,2021,4,2,23.63,22.03,23.92,18,94.05
4.25,-76.25,2021,4,2,20.32,17.99,20.37,22.18,85.81
4.25,-75.75,2021,4,2,16.9,14.78,17.12,21.77,80.12
4.25,-75.25,2021,4,2,21.09,17.51,21.29,21.68,85.91
4.25,-74.75,2021,4,2,22.02,17.77,22.25,17.99,86.84
4.25,-74.25,2021,4,2,18.13,14.72,18.47,10.79,81.39
4.25,-73.75,2021,4,2,17.23,15.08,17.6,4.14,82.92
4.25,-73.25,2021,4,2,22.78,20.19,22.89,1.36,93.41
4.25,-72.75,2021,4,2,25.21,22.36,25.26,0.31,97.64
4.75,-76.75,2021,4,2,24.28,23,24.27,13.29,96.01
4.75,-76.25,2021,4,2,21.71,19.72,21.56,17.77,89.18
4.75,-75.75,2021,4,2,17.09,15.03,17.17,16.11,80.35
4.75,-75.25,2021,4,2,19.58,16.38,19.68,15.22,83.36
4.75,-74.75,2021,4,2,21.49,17.07,21.65,11.24,85.39
4.75,-74.25,2021,4,2,19.52,14.95,19.88,4.81,82.09
4.75,-73.75,2021,4,2,14.81,12.42,15.39,1.14,77.56
4.75,-73.25,2021,4,2,19.82,17.3,20.22,0.27,87.15
4.75,-72.75,2021,4,2,23.83,20.93,24.19,0.02,94.38
5.25,-76.75,2021,4,2,24.4,23.28,24.28,7.78,96.65
5.25,-76.25,2021,4,2,21.5,19.93,21.34,11.1,89.6
5.25,-75.75,2021,4,2,18.02,16.13,17.98,8.93,81.99
5.25,-75.25,2021,4,2,19.88,16.53,19.78,7.17,83.72
5.25,-74.75,2021,4,2,22.41,17.37,22.42,4.48,86.48
5.25,-74.25,2021,4,2,21.84,16.29,22.17,1.37,84.92
5.25,-73.75,2021,4,2,15.32,12.26,15.87,0.21,76.67
5.25,-73.25,2021,4,2,16.27,13.85,16.97,0.04,79.23
5.25,-72.75,2021,4,2,19.91,17.36,20.53,0,86.4
5.75,-76.75,2021,4,2,24.33,22.99,24.14,3.51,96.41
5.75,-76.25,2021,4,2,21,19.37,20.77,4.73,88.85
5.75,-75.75,2021,4,2,18.35,16.54,18.14,3.4,82.91
5.75,-75.25,2021,4,2,20.51,17.02,20.32,2.18,85.07
5.75,-74.75,2021,4,2,24,18.54,23.94,1.06,89.37
5.75,-74.25,2021,4,2,24.93,18.67,25.09,0.22,89.98
5.75,-73.75,2021,4,2,19.02,14.8,19.33,0.02,81.26
5.75,-73.25,2021,4,2,15.7,12.54,16.4,0,76.4
5.75,-72.75,2021,4,2,15.86,13.39,16.56,0,78.17
6.25,-76.75,2021,4,2,24.36,22.53,24.24,1.38,95.87
6.25,-76.25,2021,4,2,20.56,18.59,20.33,1.18,87.81
6.25,-75.75,2021,4,2,17.56,15.64,17.27,0.78,81.83
6.25,-75.25,2021,4,2,19.9,16.77,19.77,0.39,84.51
6.25,-74.75,2021,4,2,24.58,19.2,24.55,0.13,90.62
6.25,-74.25,2021,4,2,27.57,20.4,27.53,0.02,94.17
6.25,-73.75,2021,4,2,23.8,18.12,23.75,0,88.38
6.25,-73.25,2021,4,2,19.25,14.42,19.74,0,80.82
6.25,-72.75,2021,4,2,15.24,11.94,16.01,0,75.73
6.75,-76.75,2021,4,2,24.78,22.43,24.81,0.66,95.9
6.75,-76.25,2021,4,2,20.86,18.68,20.81,0.35,87.93
6.75,-75.75,2021,4,2,18.08,15.67,17.9,0.16,82.18
6.75,-75.25,2021,4,2,20.66,17.22,20.62,0.08,85.39
6.75,-74.75,2021,4,2,25.61,19.56,25.6,0.04,91.61
6.75,-74.25,2021,4,2,29.39,20.57,29.27,0,95.85
6.75,-73.75,2021,4,2,28.01,19.81,27.84,0,94.01
6.75,-73.25,2021,4,2,22.75,15.86,23.24,0,85.38
6.75,-72.75,2021,4,2,16.61,12.27,17.47,0,77.37
7.25,-76.75,2021,4,2,25.46,22.86,25.58,0.59,96.89
7.25,-76.25,2021,4,2,22.36,20.11,22.49,0.48,90.42
7.25,-75.75,2021,4,2,21.76,18.43,21.68,0.17,87.85
7.25,-75.25,2021,4,2,24.34,19.46,24.37,0.07,90.78
7.25,-74.75,2021,4,2,27.68,20.28,27.75,0.04,94.11
7.25,-74.25,2021,4,2,30.16,19.9,30.13,0,95.79
7.25,-73.75,2021,4,2,31.03,19.3,30.97,0,96.82
7.25,-73.25,2021,4,2,23.39,15.16,24.09,0,86.21
7.25,-72.75,2021,4,2,18.32,13.18,19.3,0,80.64
3.25,-76.75,2021,4,3,20.85,18.48,21.19,16.04,87.85
3.25,-76.25,2021,4,3,15.78,13.14,16.25,11.56,78.21
3.25,-75.75,2021,4,3,17.99,15.16,18.62,13.03,82.62
3.25,-75.25,2021,4,3,20.21,17.02,20.51,12.59,86.73
3.25,-74.75,2021,4,3,20.37,17.63,20.48,12.33,87.82
3.25,-74.25,2021,4,3,19.71,17.94,19.81,13.17,88.06
3.25,-73.75,2021,4,3,22.7,21,22.56,14.86,94.52
3.25,-73.25,2021,4,3,24.3,22.44,24.17,14.12,97.56
3.25,-72.75,2021,4,3,24.89,22.8,24.7,11.97,98.49
3.75,-76.75,2021,4,3,22.37,20.3,22.64,18.81,91.2
3.75,-76.25,2021,4,3,17.67,14.83,18.14,10.62,81.13
3.75,-75.75,2021,4,3,17.43,14.77,18.12,10.88,81.43
3.75,-75.25,2021,4,3,21.53,17.85,21.88,11.13,87.93
3.75,-74.75,2021,4,3,21.4,17.87,21.61,10.39,87.89
3.75,-74.25,2021,4,3,17.71,15.51,18.04,8.64,83.03
3.75,-73.75,2021,4,3,20.38,18.37,20.41,6.84,89.57
3.75,-73.25,2021,4,3,24.03,21.54,23.96,5.36,96.32
3.75,-72.75,2021,4,3,25.38,22.43,25.25,3.58,98.42
4.25,-76.75,2021,4,3,23.66,21.8,23.8,18.26,94.15
4.25,-76.25,2021,4,3,20.27,17.47,20.44,10.13,85.92
4.25,-75.75,2021,4,3,16.95,14.32,17.44,8.11,80.23
4.25,-75.25,2021,4,3,20.74,17.21,21.1,8.17,86.05
4.25,-74.75,2021,4,3,21.48,17.66,21.77,7.11,86.98
4.25,-74.25,2021,4,3,17.85,14.76,18.23,4.38,81.49
4.25,-73.75,2021,4,3,17.43,15.21,17.73,2.06,83
4.25,-73.25,2021,4,3,23.2,20.02,23.18,1.11,93.47
4.25,-72.75,2021,4,3,25.71,21.9,25.65,0.48,97.7
4.75,-76.75,2021,4,3,24.17,22.82,24.04,14.7,96.1
4.75,-76.25,2021,4,3,21.61,19.4,21.39,9.33,89.28
4.75,-75.75,2021,4,3,17.29,14.72,17.43,6.46,80.44
4.75,-75.25,2021,4,3,19.35,16.18,19.57,5.89,83.48
4.75,-74.75,2021,4,3,20.97,17.02,21.29,4.4,85.52
4.75,-74.25,2021,4,3,19.21,15.04,19.71,1.7,82.19
4.75,-73.75,2021,4,3,15,12.66,15.56,0.36,77.64
4.75,-73.25,2021,4,3,20.26,17.08,20.43,0.1,87.21
4.75,-72.75,2021,4,3,24.5,20.25,24.62,0.02,94.43
5.25,-76.75,2021,4,3,24.14,23.04,23.96,8.84,96.74
5.25,-76.25,2021,4,3,21.45,19.63,21.14,6.54,89.69
5.25,-75.75,2021,4,3,18.42,15.89,18.35,4.48,82.08
5.25,-75.25,2021,4,3,20.04,16.4,20.01,3.61,83.83
5.25,-74.75,2021,4,3,22.28,17.32,22.45,2.26,86.6
5.25,-74.25,2021,4,3,21.65,16.22,22.16,0.48,85.03
5.25,-73.75,2021,4,3,15.23,12.19,15.86,0.04,76.75
5.25,-73.25,2021,4,3,16.21,13.37,16.74,0.01,79.32
5.25,-72.75,2021,4,3,20.14,16.49,20.56,0,86.47
5.75,-76.75,2021,4,3,24.11,22.74,24,3.65,96.5
5.75,-76.25,2021,4,3,21.12,19.09,20.87,2.78,88.93
5.75,-75.75,2021,4,3,19.11,16.34,18.98,2.07,83
5.75,-75.25,2021,4,3,21.6,16.79,21.5,1.32,85.17
5.75,-74.75,2021,4,3,24.81,18.31,24.83,0.61,89.48
5.75,-74.25,2021,4,3,25.1,18.43,25.34,0.1,90.1
5.75,-73.75,2021,4,3,18.96,14.35,19.38,0.01,81.35
5.75,-73.25,2021,4,3,15.31,11.9,15.97,0,76.5
5.75,-72.75,2021,4,3,15.54,12.52,16.22,0,78.26
6.25,-76.75,2021,4,3,24.35,22.32,24.37,1.05,95.96
6.25,-76.25,2021,4,3,20.96,18.39,20.92,0.56,87.88
6.25,-75.75,2021,4,3,18.58,15.56,18.63,0.45,81.91
6.25,-75.25,2021,4,3,21.73,16.15,21.79,0.23,84.6
6.25,-74.75,2021,4,3,26.06,18.46,26.08,0.06,90.73
6.25,-74.25,2021,4,3,27.78,20.05,27.79,0.01,94.3
6.25,-73.75,2021,4,3,23.76,17.8,23.85,0,88.49
6.25,-73.25,2021,4,3,19.14,13.64,19.72,0,80.92
6.25,-72.75,2021,4,3,14.9,11.09,15.79,0,75.83
6.75,-76.75,2021,4,3,25.05,22.06,25.24,0.24,96
6.75,-76.25,2021,4,3,21.48,18.39,21.81,0.02,88
6.75,-75.75,2021,4,3,18.97,15.53,19.3,0.02,82.27
6.75,-75.25,2021,4,3,22.32,16.27,22.52,0.01,85.49
6.75,-74.75,2021,4,3,26.86,18.47,26.92,0,91.73
6.75,-74.25,2021,4,3,29.33,20.26,29.3,0,95.99
6.75,-73.75,2021,4,3,27.82,19.99,27.78,0,94.14
6.75,-73.25,2021,4,3,23.01,15.18,23.7,0,85.49
6.75,-72.75,2021,4,3,16.52,11.53,17.59,0,77.47
7.25,-76.75,2021,4,3,25.93,22.25,26.18,0.02,97
7.25,-76.25,2021,4,3,23.03,19.51,23.53,0,90.51
7.25,-75.75,2021,4,3,22.46,17.89,22.8,0,87.97
7.25,-75.25,2021,4,3,25.23,18.45,25.47,0,90.91
7.25,-74.75,2021,4,3,28.15,19.31,28.27,0,94.24
7.25,-74.25,2021,4,3,29.89,19.63,29.88,0,95.93
7.25,-73.75,2021,4,3,30.97,19.58,30.93,0,96.95
7.25,-73.25,2021,4,3,23.84,14.75,24.88,0,86.31
7.25,-72.75,2021,4,3,18.49,12.68,19.75,0,80.73
3.25,-76.75,2021,4,4,21.21,18.25,21.53,1.73,87.82
3.25,-76.25,2021,4,4,15.85,12.96,16.16,0.45,78.19
3.25,-75.75,2021,4,4,17.87,15.12,18.25,0.45,82.59
3.25,-75.25,2021,4,4,20.33,17.03,20.57,0.49,86.7
3.25,-74.75,2021,4,4,20.7,17.65,20.84,0.43,87.78
3.25,-74.25,2021,4,4,20.1,17.99,20.21,0.37,88.02
3.25,-73.75,2021,4,4,23.37,21.19,23.2,0.58,94.46
3.25,-73.25,2021,4,4,25.12,22.6,24.86,1.19,97.48
3.25,-72.75,2021,4,4,25.81,22.97,25.63,1.59,98.41
3.75,-76.75,2021,4,4,22.49,19.94,22.76,3.91,91.17
3.75,-76.25,2021,4,4,17.67,14.56,17.96,0.53,81.1
3.75,-75.75,2021,4,4,17.16,14.6,17.63,0.55,81.4
3.75,-75.25,2021,4,4,21.67,17.66,21.99,0.59,87.89
3.75,-74.75,2021,4,4,21.83,17.71,22.11,0.47,87.84
3.75,-74.25,2021,4,4,18.13,15.51,18.48,0.24,83
3.75,-73.75,2021,4,4,20.92,18.6,21,0.15,89.52
3.75,-73.25,2021,4,4,24.85,21.78,24.71,0.18,96.25
3.75,-72.75,2021,4,4,26.17,22.72,26.14,0.16,98.34
4.25,-76.75,2021,4,4,23.58,21.44,23.65,7.19,94.12
4.25,-76.25,2021,4,4,20.49,17.16,20.54,0.77,85.88
4.25,-75.75,2021,4,4,16.77,14.16,17.09,0.72,80.2
4.25,-75.25,2021,4,4,20.96,17.02,21.37,0.74,86.01
4.25,-74.75,2021,4,4,22.04,17.49,22.48,0.55,86.92
4.25,-74.25,2021,4,4,18.38,14.73,18.84,0.19,81.45
4.25,-73.75,2021,4,4,17.72,15.35,18.1,0.04,82.95
4.25,-73.25,2021,4,4,23.8,20.16,23.78,0.02,93.4
4.25,-72.75,2021,4,4,26.31,22.13,26.38,0.01,97.63
4.75,-76.75,2021,4,4,24.13,22.49,23.97,7.98,96.08
4.75,-76.25,2021,4,4,22.24,19.22,22.21,0.88,89.24
4.75,-75.75,2021,4,4,17.39,14.56,17.52,0.7,80.43
4.75,-75.25,2021,4,4,19.64,16.01,20,0.63,83.44
4.75,-74.75,2021,4,4,21.43,16.83,21.96,0.42,85.47
4.75,-74.25,2021,4,4,19.55,14.9,20.13,0.11,82.15
4.75,-73.75,2021,4,4,15.11,12.66,15.73,0.01,77.61
4.75,-73.25,2021,4,4,20.55,17.13,20.79,0,87.16
4.75,-72.75,2021,4,4,25.06,20.36,25.28,0,94.37
5.25,-76.75,2021,4,4,24.38,22.9,24.22,4.67,96.71
5.25,-76.25,2021,4,4,22.45,19.76,22.61,0.62,89.65
5.25,-75.75,2021,4,4,18.82,15.68,18.84,0.45,82.07
5.25,-75.25,2021,4,4,20.21,16.07,20.33,0.33,83.81
5.25,-74.75,2021,4,4,22.25,17.04,22.6,0.18,86.57
5.25,-74.25,2021,4,4,21.47,16.1,22.03,0.04,85.01
5.25,-73.75,2021,4,4,15.25,12.18,15.89,0,76.73
5.25,-73.25,2021,4,4,16.35,13.49,16.95,0,79.27
5.25,-72.75,2021,4,4,20.58,16.53,21.08,0,86.42
5.75,-76.75,2021,4,4,24.56,22.78,24.5,1.6,96.46
5.75,-76.25,2021,4,4,22.19,19.39,22.35,0.24,88.89
5.75,-75.75,2021,4,4,19.67,16.26,19.65,0.17,82.98
5.75,-75.25,2021,4,4,21.51,16.64,21.5,0.09,85.15
5.75,-74.75,2021,4,4,24.23,18.27,24.36,0.04,89.46
5.75,-74.25,2021,4,4,24.45,18.52,24.76,0.01,90.09
5.75,-73.75,2021,4,4,18.89,14.44,19.32,0,81.32
5.75,-73.25,2021,4,4,15.49,11.95,16.24,0,76.46
5.75,-72.75,2021,4,4,15.81,12.53,16.61,0,78.22
6.25,-76.75,2021,4,4,24.71,22.4,24.76,0.7,95.91
6.25,-76.25,2021,4,4,21.73,18.7,21.91,0.04,87.84
6.25,-75.75,2021,4,4,19.14,15.83,19.33,0.03,81.88
6.25,-75.25,2021,4,4,21.33,16.54,21.46,0.01,84.58
6.25,-74.75,2021,4,4,25.16,18.81,25.25,0,90.72
6.25,-74.25,2021,4,4,27.18,20.19,27.27,0,94.28
6.25,-73.75,2021,4,4,23.62,17.81,23.77,0,88.47
6.25,-73.25,2021,4,4,19.25,13.62,20.08,0,80.88
6.25,-72.75,2021,4,4,15.17,11.17,16.28,0,75.78
6.75,-76.75,2021,4,4,25.3,22.12,25.46,0.31,95.94
6.75,-76.25,2021,4,4,21.98,18.65,22.38,0,87.95
6.75,-75.75,2021,4,4,19.4,16,19.87,0,82.24
6.75,-75.25,2021,4,4,21.85,16.89,22.11,0,85.46
6.75,-74.75,2021,4,4,26.05,18.86,26.12,0,91.71
6.75,-74.25,2021,4,4,28.85,20.2,28.87,0,95.97
6.75,-73.75,2021,4,4,27.25,19.83,27.31,0,94.13
6.75,-73.25,2021,4,4,22.75,15.4,23.72,0,85.44
6.75,-72.75,2021,4,4,16.8,11.87,18.08,0,77.42
7.25,-76.75,2021,4,4,26.23,22.18,26.42,0.04,96.94
7.25,-76.25,2021,4,4,23.45,19.6,23.92,0,90.46
7.25,-75.75,2021,4,4,22.79,18.19,23.19,0,87.93
7.25,-75.25,2021,4,4,25.28,18.72,25.53,0,90.87
7.25,-74.75,2021,4,4,27.97,19.32,28.07,0,94.21
7.25,-74.25,2021,4,4,29.49,19.41,29.53,0,95.91
7.25,-73.75,2021,4,4,30.1,19.64,30.17,0,96.94
7.25,-73.25,2021,4,4,23.47,15.34,24.54,0,86.27
7.25,-72.75,2021,4,4,18.73,13.33,20.09,0,80.68
3.25,-76.75,2021,4,5,21.36,18.29,21.99,2.3,87.82
3.25,-76.25,2021,4,5,16.1,13.19,16.62,0.01,78.18
3.25,-75.75,2021,4,5,18.06,15.33,18.54,0,82.58
3.25,-75.25,2021,4,5,20.4,17.18,20.62,0,86.69
3.25,-74.75,2021,4,5,20.58,17.77,20.67,0.04,87.78
3.25,-74.25,2021,4,5,19.8,18.15,19.9,0.16,88.02
3.25,-73.75,2021,4,5,23.05,21.42,22.94,0.38,94.48
3.25,-73.25,2021,4,5,24.72,22.85,24.56,0.42,97.51
3.25,-72.75,2021,4,5,25.42,23.34,25.3,0.33,98.44
3.75,-76.75,2021,4,5,22.77,20.09,23.4,3.1,91.17
3.75,-76.25,2021,4,5,17.89,14.7,18.44,0.02,81.1
3.75,-75.75,2021,4,5,17.21,14.57,17.72,0.01,81.4
3.75,-75.25,2021,4,5,21.61,17.46,21.88,0,87.89
3.75,-74.75,2021,4,5,21.64,17.53,21.84,0.01,87.85
3.75,-74.25,2021,4,5,17.82,15.53,18.1,0.04,83
3.75,-73.75,2021,4,5,20.64,18.79,20.7,0.11,89.54
3.75,-73.25,2021,4,5,24.29,21.93,24.25,0.13,96.29
3.75,-72.75,2021,4,5,25.58,22.98,25.62,0.08,98.38
4.25,-76.75,2021,4,5,23.92,21.73,24.4,2.94,94.12
4.25,-76.25,2021,4,5,20.61,17.26,20.92,0.02,85.88
4.25,-75.75,2021,4,5,16.69,13.88,17.11,0.01,80.21
4.25,-75.25,2021,4,5,20.84,16.6,21.22,0.01,86.02
4.25,-74.75,2021,4,5,21.9,17.17,22.25,0.01,86.93
4.25,-74.25,2021,4,5,18.19,14.66,18.55,0.01,81.45
4.25,-73.75,2021,4,5,17.51,15.48,17.85,0.01,82.97
4.25,-73.25,2021,4,5,23.13,20.39,23.22,0.01,93.44
4.25,-72.75,2021,4,5,25.45,22.44,25.64,0.01,97.68
4.75,-76.75,2021,4,5,24.37,22.77,24.51,3.19,96.08
4.75,-76.25,2021,4,5,22.19,19.24,22.36,0.02,89.25
4.75,-75.75,2021,4,5,17.31,14.29,17.59,0.01,80.43
4.75,-75.25,2021,4,5,19.6,15.78,19.98,0.01,83.44
4.75,-74.75,2021,4,5,21.48,16.68,21.96,0,85.47
4.75,-74.25,2021,4,5,19.66,14.79,20.2,0,82.15
4.75,-73.75,2021,4,5,15.09,12.79,15.64,0,77.61
4.75,-73.25,2021,4,5,20.04,17.47,20.35,0,87.19
4.75,-72.75,2021,4,5,24.04,20.82,24.39,0,94.43
5.25,-76.75,2021,4,5,24.4,23.05,24.39,3.44,96.73
5.25,-76.25,2021,4,5,22.21,19.71,22.49,0.02,89.66
5.25,-75.75,2021,4,5,18.8,15.58,18.97,0.01,82.06
5.25,-75.25,2021,4,5,20.52,16.04,20.7,0,83.79
5.25,-74.75,2021,4,5,22.84,16.85,23.23,0,86.54
5.25,-74.25,2021,4,5,22.1,15.69,22.73,0,84.99
5.25,-73.75,2021,4,5,15.45,12.18,16.03,0,76.72
5.25,-73.25,2021,4,5,16.16,13.7,16.75,0,79.28
5.25,-72.75,2021,4,5,19.96,17.03,20.5,0,86.46
5.75,-76.75,2021,4,5,24.47,22.84,24.46,2.92,96.48
5.75,-76.25,2021,4,5,21.96,19.47,22.28,0.01,88.91
5.75,-75.75,2021,4,5,19.71,16.15,19.8,0,82.98
5.75,-75.25,2021,4,5,22.13,16.27,22.18,0,85.12
5.75,-74.75,2021,4,5,25.29,17.55,25.48,0,89.42
5.75,-74.25,2021,4,5,25.49,17.66,25.89,0,90.05
5.75,-73.75,2021,4,5,19.28,14.19,19.69,0,81.3
5.75,-73.25,2021,4,5,15.6,12.02,16.27,0,76.45
5.75,-72.75,2021,4,5,15.79,12.95,16.58,0,78.23
6.25,-76.75,2021,4,5,24.61,22.44,24.65,2,95.94
6.25,-76.25,2021,4,5,21.48,18.97,21.79,0,87.86
6.25,-75.75,2021,4,5,19.07,15.56,19.24,0,81.9
6.25,-75.25,2021,4,5,21.96,15.65,22.07,0,84.56
6.25,-74.75,2021,4,5,26.26,17.57,26.37,0,90.67
6.25,-74.25,2021,4,5,28.17,19.13,28.31,0,94.24
6.25,-73.75,2021,4,5,23.98,17.54,24.15,0,88.43
6.25,-73.25,2021,4,5,19.52,13.73,20.26,0,80.87
6.25,-72.75,2021,4,5,15.44,11.5,16.51,0,75.78
6.75,-76.75,2021,4,5,25.06,22.12,25.13,0.87,95.97
6.75,-76.25,2021,4,5,21.27,18.88,21.64,0,87.98
6.75,-75.75,2021,4,5,18.83,15.75,19.13,0,82.25
6.75,-75.25,2021,4,5,22,16.11,22.18,0,85.45
6.75,-74.75,2021,4,5,26.65,17.96,26.74,0,91.68
6.75,-74.25,2021,4,5,29.38,19.64,29.45,0,95.95
